T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bifidobacterium_longum,,g__glucose1phosphate_adenylyltransferase,,s__bifidobacterium_longum,0.2,,0.2,0.8,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__5formyltetrahydrofolate_cycloligase,,s__clostridium_bolteae,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,,m__hmdb00056,s__bacteroides_caccae,,0.4,0.2,0.6,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00020,s__roseburia_inulinivorans,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00020,s__roseburia_inulinivorans,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,_m,s__streptococcus_parasanguinis,1,,1,1,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,_m,s__klebsiella_pneumoniae,1,,0.5,0.2,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__sutterella_wadsworthensis,,_m,s__roseburia_intestinalis,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__klebsiella_pneumoniae,,_m,s__klebsiella_pneumoniae,0.25,,0.25,1,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,_m,s__eubacterium_siraeum,0.5,,0.5,0.4,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,_m,s__bacteroides_cellulosilyticus,0.5,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__clostridium_bolteae,,_m,s__clostridium_bolteae,0.25,,0.25,0.6,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__bifidobacterium_longum,0.25,,0.25,0.8,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_thetaiotaomicron,,_m,s__bacteroides_thetaiotaomicron,0.25,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_stercoris,s__bacteroides_stercoris,,_m,s__bacteroides_stercoris,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__streptococcus_thermophilus,,_m,s__bacteroides_fragilis,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__bacteroides_fragilis,,_m,s__roseburia_inulinivorans,0.25,,0.5,0.6,TRUE,FALSE,FALSE,FALSE
s__bacteroides_finegoldii,s__bacteroides_finegoldii,,_m,s__bacteroides_finegoldii,0.5,,0.5,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,_m,s__eubacterium_siraeum,0.25,,0.5,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,_m,s__bacteroides_cellulosilyticus,0.25,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__barnesiella_intestinihominis,,_m,s__bacteroides_thetaiotaomicron,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__clostridium_bolteae,,_m,s__clostridium_bolteae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__akkermansia_muciniphila,,_m,s__akkermansia_muciniphila,0.5,,0.5,1,TRUE,FALSE,FALSE,FALSE
