T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__roseburia_inulinivorans,,g__glucose1phosphate_adenylyltransferase,,s__roseburia_inulinivorans,0.4,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,,s__klebsiella_pneumoniae,0.2,,0.2,0.6,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__ribulosephosphate_3epimerase,,s__bifidobacterium_longum,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__pyruvate_carboxylase,,s__bacteroides_stercoris,0.6,,0.2,1,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__dna_helicase,,s__bacteroides_ovatus,0.2,,0.4,1,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__glutamate_decarboxylase,,s__akkermansia_muciniphila,0.2,,0.2,1,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,,m__hmdb00043,s__eubacterium_ventriosum,,0.2,0.2,1,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.8,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.8,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.8,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.8,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bacteroides_uniformis,,,m__hmdb00289,s__bacteroides_uniformis,,0.4,0.4,0.8,FALSE,FALSE,FALSE,TRUE
s__bacteroides_stercoris,,,m__hmdb00289,s__bacteroides_stercoris,,0.2,0.4,1,FALSE,FALSE,FALSE,TRUE
s__bacteroides_caccae,,,m__hmdb00056,s__bacteroides_caccae,,0.2,0.2,0.8,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,_m,s__streptococcus_parasanguinis,0.75,,0.75,0.6,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,,_m,s__klebsiella_pneumoniae,0.75,,0.25,0.6,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,_m,s__roseburia_inulinivorans,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__klebsiella_pneumoniae,,_m,s__klebsiella_pneumoniae,0.25,,0.25,0.6,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__faecalibacterium_prausnitzii,,_m,s__roseburia_inulinivorans,0.25,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__faecalibacterium_prausnitzii,,_m,s__roseburia_inulinivorans,0.25,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__faecalibacterium_prausnitzii,,_m,s__faecalibacterium_prausnitzii,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__eubacterium_ventriosum,s__eubacterium_ventriosum,,_m,s__eubacterium_ventriosum,0.25,,0.25,1,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,_m,s__eubacterium_siraeum,0.5,,0.5,0.4,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__bacteroides_stercoris,,_m,s__bacteroides_stercoris,0.5,,0.5,0.2,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__clostridium_bolteae,,_m,s__clostridium_bolteae,0.25,,0.25,0.4,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__haemophilus_parainfluenzae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__haemophilus_parainfluenzae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__haemophilus_parainfluenzae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__haemophilus_parainfluenzae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__bifidobacterium_longum,,_m,s__bifidobacterium_longum,0.25,,0.25,0.8,TRUE,FALSE,FALSE,FALSE
s__bacteroides_xylanisolvens,s__bacteroides_xylanisolvens,,_m,s__bacteroides_xylanisolvens,0.75,,0.75,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_thetaiotaomicron,,_m,s__bacteroides_thetaiotaomicron,0.25,,0.25,0.6,TRUE,FALSE,FALSE,FALSE
s__bacteroides_stercoris,s__bacteroides_stercoris,,_m,s__bacteroides_stercoris,0.5,,0.5,1,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__dialister_invisus,,_m,s__clostridium_bolteae,0.25,,0.25,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__roseburia_inulinivorans,,_m,s__roseburia_inulinivorans,0.5,,0.25,0.6,TRUE,FALSE,FALSE,FALSE
