T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_dorei,0.87,1,1,0.67,FALSE,TRUE,TRUE,TRUE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_dorei,0.87,1,1,0.12,FALSE,TRUE,TRUE,TRUE
s__bacteroides_ovatus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_massiliensis,0.97,1,0.99,0.11,FALSE,TRUE,TRUE,TRUE
s__bacteroides_ovatus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_dorei,0.97,1,1,0.56,FALSE,TRUE,TRUE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_massiliensis,0.99,1,0.99,1,FALSE,TRUE,TRUE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_dorei,0.99,1,1,0.74,FALSE,TRUE,TRUE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__bacteroides_dorei,0.99,1,1,0.11,FALSE,TRUE,TRUE,TRUE
s__alistipes_onderdonkii,,g__beta-lactamase,m__hmdb01232,s__alistipes_onderdonkii,0.1,0.18,1,1,FALSE,TRUE,TRUE,TRUE
s__ruminococcus_torques,,g__dna helicase,m__hmdb01547,s__ruminococcaceae_bacterium_d16,0.69,0.65,0.97,0.57,FALSE,TRUE,TRUE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00296,s__parabacteroides_merdae,1,0.72,0.22,0.15,FALSE,TRUE,TRUE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00296,s__parabacteroides_merdae,1,0.72,0.22,0.25,FALSE,TRUE,TRUE,FALSE
s__parabacteroides_unclassified,,g__nadh,m__hmdb01232,s__alistipes_onderdonkii,0.88,0.2,1,0.82,FALSE,TRUE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__rna helicase,m__hmdb01895,s__bacteroides_eggerthii,0.67,0.87,0.33,0.45,FALSE,TRUE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__l-lactate dehydrogenase,m__hmdb00715,s__klebsiella_pneumoniae,1,0.4,0.74,1,FALSE,TRUE,TRUE,FALSE
s__coprobacillus_unclassified,,g__glycerate 3-kinase,m__hmdb00019,s__coprobacillus_unclassified,0.16,0.23,0.99,1,FALSE,TRUE,TRUE,FALSE
s__clostridium_clostridioforme,,g__dephospho-coa kinase,m__hmdb01547,s__ruminococcaceae_bacterium_d16,1,0.92,0.97,0.24,FALSE,TRUE,TRUE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb01547,s__ruminococcaceae_bacterium_d16,1,0.65,0.97,0.93,FALSE,TRUE,TRUE,FALSE
s__clostridiaceae_bacterium_jc118,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00101,s__alistipes_putredinis,0.1,0.99,0.14,0.99,FALSE,TRUE,TRUE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00296,s__parabacteroides_merdae,0.47,0.72,0.22,1,FALSE,TRUE,TRUE,FALSE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00511,s__coprobacillus_unclassified,0.99,0.23,0.26,0.33,FALSE,TRUE,TRUE,FALSE
s__bacteroides_eggerthii,,g__rna helicase,m__hmdb01895,s__bacteroides_eggerthii,0.31,0.87,0.33,1,FALSE,TRUE,TRUE,FALSE
